epoch,batch,train_loss
1.0,1.0,0.7111454606056213
1.0,2.0,0.5167499780654907
1.0,3.0,0.37306052446365356
1.0,4.0,0.282599538564682
1.0,5.0,0.24640867114067078
1.0,6.0,0.21908771991729736
1.0,7.0,0.20689114928245544
1.0,8.0,0.14089545607566833
1.0,9.0,0.15930530428886414
1.0,10.0,0.18227839469909668
1.0,11.0,0.14113721251487732
1.0,12.0,0.1558956801891327
1.0,13.0,0.16710594296455383
1.0,14.0,0.15046854317188263
1.0,15.0,0.18500328063964844
1.0,16.0,0.14542752504348755
1.0,17.0,0.18017926812171936
1.0,18.0,0.15104782581329346
1.0,19.0,0.12165235728025436
1.0,20.0,0.22134579718112946
1.0,21.0,0.19432230293750763
1.0,22.0,0.13675621151924133
1.0,23.0,0.19682812690734863
1.0,24.0,0.15821704268455505
1.0,25.0,0.17641934752464294
1.0,26.0,0.17171892523765564
1.0,27.0,0.15207743644714355
1.0,28.0,0.12694957852363586
1.0,29.0,0.16911835968494415
1.0,30.0,0.18494802713394165
1.0,31.0,0.16299942135810852
1.0,32.0,0.15778107941150665
1.0,33.0,0.17480772733688354
1.0,34.0,0.14747354388237
1.0,35.0,0.15487532317638397
1.0,36.0,0.14031368494033813
1.0,37.0,0.18324103951454163
1.0,38.0,0.17635539174079895
1.0,39.0,0.16866138577461243
1.0,40.0,0.15736064314842224
1.0,41.0,0.16624757647514343
1.0,42.0,0.1422203928232193
1.0,43.0,0.15203171968460083
1.0,44.0,0.18655282258987427
1.0,45.0,0.17233102023601532
1.0,46.0,0.14543773233890533
1.0,47.0,0.1757090985774994
1.0,48.0,0.1641329824924469
1.0,49.0,0.1636185348033905
1.0,50.0,0.1325729489326477
1.0,51.0,0.1513518989086151
1.0,52.0,0.14448793232440948
1.0,53.0,0.14917585253715515
1.0,54.0,0.16132867336273193
1.0,55.0,0.16571596264839172
1.0,56.0,0.19415636360645294
1.0,57.0,0.17553472518920898
1.0,58.0,0.1869983971118927
1.0,59.0,0.1531103551387787
1.0,60.0,0.14725041389465332
1.0,61.0,0.17312616109848022
1.0,62.0,0.17885202169418335
1.0,63.0,0.13289208710193634
1.0,64.0,0.1650487780570984
1.0,65.0,0.18642330169677734
1.0,66.0,0.17350244522094727
1.0,67.0,0.12308647483587265
1.0,68.0,0.196640282869339
1.0,69.0,0.11273760348558426
1.0,70.0,0.14507396519184113
1.0,71.0,0.1417286992073059
1.0,72.0,0.16278274357318878
1.0,73.0,0.14940208196640015
1.0,74.0,0.21003469824790955
1.0,75.0,0.15915638208389282
1.0,76.0,0.16381312906742096
1.0,77.0,0.17229345440864563
1.0,78.0,0.17327530682086945
1.0,79.0,0.16209232807159424
1.0,80.0,0.1481189727783203
1.0,81.0,0.15791240334510803
1.0,82.0,0.1743401288986206
1.0,83.0,0.15581148862838745
1.0,84.0,0.14683014154434204
1.0,85.0,0.14934644103050232
1.0,86.0,0.18164047598838806
1.0,87.0,0.17259156703948975
1.0,88.0,0.1492156833410263
1.0,89.0,0.1707829385995865
1.0,90.0,0.15288615226745605
1.0,91.0,0.15468496084213257
1.0,92.0,0.1718674898147583
1.0,93.0,0.1725541055202484
1.0,94.0,0.18872100114822388
1.0,95.0,0.17746590077877045
1.0,96.0,0.18091964721679688
1.0,97.0,0.17410992085933685
1.0,98.0,0.16547122597694397
1.0,99.0,0.14098705351352692
1.0,100.0,0.1442699432373047
1.0,101.0,0.167586550116539
1.0,102.0,0.18169482052326202
1.0,103.0,0.14914661645889282
1.0,104.0,0.15202435851097107
1.0,105.0,0.16255968809127808
1.0,106.0,0.16183216869831085
1.0,107.0,0.20079338550567627
1.0,108.0,0.1418287456035614
1.0,109.0,0.13618582487106323
1.0,110.0,0.1370336264371872
1.0,111.0,0.1567973792552948
1.0,112.0,0.14927248656749725
1.0,113.0,0.1371639519929886
1.0,114.0,0.15712213516235352
1.0,115.0,0.15105852484703064
1.0,116.0,0.20593059062957764
1.0,117.0,0.13833722472190857
1.0,118.0,0.1594010293483734
1.0,119.0,0.16689863801002502
1.0,120.0,0.15186744928359985
1.0,121.0,0.171940416097641
1.0,122.0,0.18413183093070984
1.0,123.0,0.12999479472637177
1.0,124.0,0.16746270656585693
1.0,125.0,0.16868367791175842
1.0,126.0,0.1363925188779831
1.0,127.0,0.16641421616077423
1.0,128.0,0.1892678141593933
1.0,129.0,0.1707238256931305
1.0,130.0,0.15058362483978271
1.0,131.0,0.1301933228969574
1.0,132.0,0.16111087799072266
1.0,133.0,0.13831540942192078
1.0,134.0,0.14944681525230408
1.0,135.0,0.20286241173744202
1.0,136.0,0.13253989815711975
1.0,137.0,0.15879949927330017
1.0,138.0,0.17320847511291504
1.0,139.0,0.1437608301639557
1.0,140.0,0.1751638799905777
1.0,141.0,0.24822571873664856
1.0,142.0,0.13028743863105774
1.0,143.0,0.20015642046928406
1.0,144.0,0.19783346354961395
1.0,145.0,0.18894252181053162
1.0,146.0,0.1773476004600525
1.0,147.0,0.1515323519706726
1.0,148.0,0.16602161526679993
1.0,149.0,0.16170182824134827
1.0,150.0,0.15495970845222473
1.0,151.0,0.1574344038963318
1.0,152.0,0.14168360829353333
1.0,153.0,0.18083518743515015
1.0,154.0,0.14986009895801544
1.0,155.0,0.13646739721298218
1.0,156.0,0.17067788541316986
1.0,157.0,0.1426946520805359
1.0,158.0,0.19283024966716766
1.0,159.0,0.17465244233608246
